Company Name,Event Name,Category,Date,Location / Region,Format,Status,Description,Source URL
Accenture,Regulatory Reinvention,Externally Hosted (Open),2026-07-28,Virtual / US,Virtual,Upcoming,Discussion with Government Technology regarding public sector modernization,https://www.govevents.com
Accenture,Accenture Tech Next Challenge 2026,Startup-Friendly,2026-08-12,"Bangalore, India",In-person,Upcoming,Flagship B2B deep-tech startup pitching program and showcase,https://www.technextchallenge.in
Accenture,TCS Summit Europe / Enterprise AI,Invite-Only,2026-09-21,"London, UK",In-person,,Premier executive gathering for European digital transformation,https://www.accenture.com
Accenture,AI & Big Data Expo Europe,Attending / Sponsoring,2026-10-19,"Amsterdam, Europe",In-person,,Major industry event where Accenture is a key showcase partner,https://www.ai-expo.net
Accenture,MWC Barcelona 2026,Attending / Sponsoring,2026-02-28,"Barcelona, Europe",In-person,Completed,"Showcased human-led, AI-enabled transformation value chains",https://www.accenture.com
Accenture,RSA Conference (RSAC) 2026,Attending / Sponsoring,2026-03-25,"San Francisco, US",In-person,Completed,Highlights cybersecurity reinvention solutions; Innovation Day on March 25,https://www.accenture.com
Hitachi Vantara,India & SAARC Partner Summit,Thought Leadership,2026-06-15,"Rishikesh, India",In-person,Completed,Data center modernization and AI-driven infrastructure demands,https://www.dqchannels.com
Hitachi Vantara,ANZ Exchange 2026,Invite-Only,2026-11-15,"Gold Coast, Australia",In-person,,Flagship event: 'Building a Data Foundation for What’s Next',https://www.hitachivantara.com
Hitachi Vantara,EMEA VAD Forum 2027,Invite-Only,2027-05-12,Monaco,In-person,,Annual strategy gathering for European distributors and consultants,https://www.hitachivantara.com
Hitachi Vantara,NVIDIA GTC 2026,Attending / Sponsoring,2026-03-18,"San Jose, US",In-person,Completed,Gold sponsor showcasing industrial AI and digital twin infrastructure,https://www.hitachivantara.com
Hitachi Vantara,Foundations 2026,Internally Hosted,2026-09-01,Virtual / Global,Virtual,,Customer & partner working sessions on AI-ready cybersecurity,https://www.hitachivantara.com
Birlasoft,35th Annual General Meeting,Internally Hosted,2026-07-27,Virtual / India,Virtual,Upcoming,Video conference for adopting FY26 results,https://www.birlasoft.com
Birlasoft,OTM WMS User Conference Americas,Attending / Sponsoring,2026-06-27,"Minneapolis, US",In-person,Completed,Sponsoring and presenting supply chain and logistics tech solutions,https://www.birlasoft.com
Birlasoft,Oracle AI World Tour London,Attending / Sponsoring,2026-03-24,"London, UK",In-person,Completed,Showcased Oracle ERP cloud modernization and generative AI use cases,https://www.birlasoft.com
Birlasoft,CXO Innovation Roundtable,Invite-Only,2026-11-20,London / Mumbai,Hybrid,,Closed-room events focusing on manufacturing and life sciences cloud transformation,https://www.birlasoft.com
